Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
74,Haunskinkini,Kafi,3 (12pm - 3pm),N - S - G - m - P - N - S',"S - n - D - P - m - P - g, m - P - (m)g - R - S - 'N - 'N - S",P,S,"S' - G - m - P, P - n - D - P, m - P - (m)g - R - S",Audav - Sampoorna,H,A,H,H,H,A,H,H,H,K,H,H,H,B,3.3077,3,2,1,1.5,H,H,B,H,H,H,B
356,"Chandrika, Udan",Kafi,3 (12pm - 3pm),S - g - m - P - n - S',S' - n - P - D - P - m - g - S,P,S,gmPn PD Pmg S,Audav - Shadav,H,A,K,H,H,A,K,H,A,K,H,H,H,K,2.9091,3,2,1,1.5,H,A,K,H,H,H,K
126,Madhuvanti,,3 (12pm - 3pm),N - S - g - M - P - N - S',S' - N - D - P - D - n - D - P - M - g - R - S,P,S,gMP- NS'DP - DnDP - (M)g - MgRS R S,Audav - Sampoorna,H,A,K,T,H,A,H,H,H,K,T,H,H,B,4.1538,3,2,1,1.5,H,H,K,T,H,H,B
585,"Desi, Shuddha",Kafi,3 (12pm - 3pm),S - R - G - m - R - m - P - S' / P - D - N - S',S' - P - D - P - m - G - R - P - R - g - S - R - 'n - S,P,S',RP Rg- SR- 'nS - RG-m PS' - PDNS',Vakra,H,H,H,H,H,H,H,H,H,B,H,H,H,K,3.2667,3,2,1,1.5,H,H,B,H,H,H,B
536,"Basant, Hamiri",Poorvi,3 (12pm - 3pm),"S - m - G, R - G - m - D - N - S'",S' - N - D - P - M - G - N - d - M - G - r - S,P,S',GmDNS' - NdP - MGM G,Mishra/Sankeerna,H,H,H,H,A,H,H,H,K,H,T,H,B,H,3.7857,3,2,1,1.5,H,B,H,B,H,B,H
170,Shree,Poorvi,4 (3pm - 6pm),S - (G)r - M - P -  N - S',S' - Nr' - N - d - Md - M - G - r - S,r,P,(G)r - rP MPd MGrS - MPNS'r'- NdP,Audav - Sampoorna,H,K,H,T,H,A,H,H,K,H,T,A,K,H,4.25,4,6,2,4,H,K,H,T,H,K,H
93,"Kalyan, Purwa",Marwa,4 (3pm - 6pm),N - r - G - M - D - N - S',S' - N - D - P - M - G - (M)r - G - r - S,S,P,"N - D - P - M - G, MDMG - r - S",Sampoorna - Sampoorna,H,K,H,T,A,H,H,H,K,H,T,H,H,H,4.3077,4,1,2,1.5,H,K,H,T,H,H,H
314,Maru,Poorvi,4 (3pm - 6pm),S - r - G - m - M - P - d - N - S',S' - N - d - P - M - m - G - R - S,R,D,,Sampoorna - Sampoorna,H,K,H,B,H,K,H,H,H,H,B,H,K,H,3.6875,4,5,4,4.5,H,B,H,B,H,K,H
435,Sanjaari,,4 (3pm - 6pm),S - R - m - P - D - S',S' - N  - D - n - D - M - P - m - G - R - g - R - 'N - S,R,D,"R - m, P - D - M - P, m - G - R - g - R, S - R - 'N - S",Audav - Sampoorna,H,H,A,H,H,H,A,H,H,B,B,H,H,B,3.5333,4,5,4,4.5,H,H,B,B,H,H,B
287,Zilaf,Asavari,4 (3pm - 6pm),S - g - m - P - d - n - S',R' - S' - n - d - P - g - P - m - g - R - S,d,g,gmP R'S' ndP gPmg RSR S,Shadav - Sampoorna,H,A,K,H,H,K,K,H,H,K,H,H,K,K,3,4,3,4,3.5,H,H,K,H,H,K,K
142,"Bihag, Maru / Maaru Bihag",Kalyan,4 (3pm - 6pm),N - S - m - G - M - P - N - S',S' - N - D - P - M - G - R - S,G,N,GMPNS' (N)DP MGM-G RSR-S - Sm-G ND(P)MG RS,Audav - Sampoorna,H,A,H,B,H,A,H,H,H,H,T,H,H,H,3.7692,4,3,6,4.5,H,H,H,B,H,H,H
156,Puriya Dhanashree,Poorvi,4 (3pm - 6pm),N - r - G - M - d - N - S',"S' - Nr' - NdP, MG - MrG - rS",P,S,NrMG P - MdNdP - MGMrG - rS,Audav - Sampoorna,H,K,H,T,A,K,H,H,K,H,T,H,K,H,4.1538,4,2,1,1.5,H,K,H,T,H,K,H
482,Saanjh / Sanz / Saanjh Ka Hindol,Marwa,4 (3pm - 6pm),S - G - M - D - N - S',S - N - D - M - G - S,G,N,"G M D N - MG, GMD GM-G, MG S",Audav - Audav,H,A,H,T,A,H,H,H,A,H,T,A,H,H,4.2,4,3,6,4.5,H,A,H,T,A,H,H
581,Vihang,Marwa,4 (3pm - 6pm),S - G - P - M - D - N - S',S' - N - D - P - M - G - m - G - M - G - r - S,G,N,MDNDP - GmGrG - DMGr SG GP,Mishra/Sankeerna,H,A,H,T,H,H,H,H,K,H,B,H,H,H,3.8571,4,3,6,4.5,H,K,H,B,H,H,H
154,Poorvi,Poorvi,4 (3pm - 6pm),N - r - G - M - d - N - S',"S' - N - d - P - M - G - m - r - G, M - G - r - S",G,N,"P - d - P - M - G - m - r - G, M - G - r - S",Shadav - Sampoorna,H,K,H,T,A,K,H,H,K,H,B,H,K,H,4,4,3,6,4.5,H,K,H,B,H,K,H
344,Latika,Poorvi,4 (3pm - 6pm),"S - R - G, P - d - N - S'",S' - N - d - P - G - R - S,G,N,,Shadav - Shadav,H,H,H,A,H,K,H,H,H,H,A,H,K,H,3.3333,4,3,6,4.5,H,H,H,A,H,K,H
242,Manohar,Poorvi,5 (6pm - 9pm),S - r - G - M - d - S',S' - r' - N - d - P - G - M - G - r - S,G,d,,Audav - Sampoorna,H,K,H,T,A,K,A,H,K,H,T,H,K,H,4,5,3,3,3,H,K,H,T,H,K,H
520,"Gauri, Kabiri / Khapar Gauri / Raamaanandi Gauri",Poorvi,4 (3pm - 6pm),S - r - P - M - d - N - S',S' - Nr'NdP - dmPG - rGrS,G,N,rP - MdNS' - NdN dP - dmPG rGrS 'NS'N'd'N,Mishra/Sankeerna,H,K,A,T,H,K,H,H,K,H,H,H,K,H,3.6923,4,3,6,4.5,H,K,H,B,H,K,H
155,Puriya,Marwa,5 (6pm - 9pm),N - r - G - M - D - N - r' - S',"r' - N - D - M - G, M - G - r - S",G,N,NrM-G 'NrS - GMDN r'N(D)M- G - MG 'NrS,Shadav - Shadav,H,K,H,T,A,H,H,H,K,H,T,A,H,H,4.5,5,3,6,4.5,H,K,H,T,A,H,H
245,Ratnadeep,Marwa,5 (6pm - 9pm),S - G - M - P - N - S',S' - D - P - M - G - r - S,R,P,,Audav - Shadav,H,A,H,T,H,A,H,H,K,H,T,H,H,A,3.8182,5,5,2,3.5,H,K,H,T,H,H,H
381,Gavati,Khamaaj,4 (3pm - 6pm),n - S - G - m - P - n - S',"S, nS' - DP - mP - Gm - RS",S,P,PnS' - DP - GmRS,Audav - Sampoorna,H,A,H,H,H,A,K,H,H,H,H,H,H,K,2.9167,4,1,2,1.5,H,H,H,H,H,H,K
246,Haunsnad,Marwa,5 (6pm - 9pm),S - r - G - M - N - S',S' - N - P - M - r - S,S,P,,Audav - Audav,H,K,H,T,A,A,H,H,K,A,T,H,A,H,4.5,5,1,2,1.5,H,K,H,T,H,A,H
548,Pradeepaki (with both Madhyam & Dhaivat),Asavari,4 (3pm - 6pm),n - S - g - m - P - g - M - P - n - S',S' - n - D - P - MPndP - d - P - m - g - R - g - R - S,m,S,g - m - p - g - M - P - n - D - P - dP - m - g - R - S,Mishra/Sankeerna,H,A,K,B,H,A,K,H,H,K,B,H,B,K,3.6,4,2,1,1.5,H,H,K,B,H,B,K
36,Bhimpalasi,Kafi,4 (3pm - 6pm),n - S - g - m - P - n - S',S' - n - D - P - mP g - m - g - R - S,m,S,"R'nS m, gm P g - RS",Audav - Sampoorna,H,A,K,H,H,A,K,H,H,K,H,H,H,K,3.0833,4,2,1,1.5,H,H,K,H,H,H,K
61,Dhanashree,Kafi,4 (3pm - 6pm),n - S - g - m - P - n - S',S' - n - D - P - m - g - R - S,P,S,"n - S - g - m - P - g, m - g - R - ?n - S",Audav - Sampoorna,H,A,K,H,H,A,K,H,H,K,H,H,H,K,3.0833,4,2,1,1.5,H,H,K,H,H,H,K
125,"Ranjani, Madhu / Madhuranjani",Kafi,4 (3pm - 6pm),N - S - g - m - P - N - S',S' - N - P - m - g - R - S,P,S,g - m - P - N - S' - N - P - m - g - R - S,Audav - Shadav,H,A,K,H,H,A,H,H,H,K,H,H,A,H,3.1818,4,2,1,1.5,H,H,K,H,H,A,H
151,Patdeep,Kafi,4 (3pm - 6pm),N - S - g - m - P - N - S',S' - NS' - D - P - mP - g - R - S,P,S,gmPN - DNS' DP - mP g,Audav - Sampoorna,H,A,K,H,H,A,H,H,H,K,H,H,H,H,3.25,4,2,1,1.5,H,H,K,H,H,H,H
153,Pilu,Kafi,4 (3pm - 6pm),N - S - R - m - P - N - S',S' - n - D - P - mPdP - mG - mP - (m)g - RS - 'NS - grS,P,S,GmP (m)g RS'N S,Mishra/Sankeerna,H,H,A,H,H,A,H,H,B,B,H,H,B,B,3.5625,4,2,1,1.5,H,B,B,H,H,B,B
307,Kolhaas,Kafi,4 (3pm - 6pm),S - R - g - P - D - n - S',S' - n - D - P - g - R - S,P,S,,Shadav - Shadav,H,H,K,A,H,H,K,H,H,K,A,H,H,K,3.5,4,2,1,1.5,H,H,K,A,H,H,K
458,Tukhari,Kafi,4 (3pm - 6pm),N - S - g - M - P - N - S',S' - N - D - P - M - P - D - n - D - P - M - g - R - S,P,S,N - N - D - P - M - P - M - g - R - S,Audav - Sampoorna,H,A,K,T,H,A,H,H,H,K,T,H,H,B,4.1538,4,2,1,1.5,H,H,K,T,H,H,B
214,Maligaura,Poorvi,5 (6pm - 9pm),"S - r - 'N - 'd - 'N, r - G, M - G, M - P - N - S'","S' - r' - N, d - P, N - (d)M, G, M - 'N - r - S",S,P,"S - r - 'N - 'd 'N, P d - M - G, M - G - r - G",Shadav - Sampoorna,H,K,H,T,H,K,H,H,K,H,T,H,K,H,4,5,1,2,1.5,H,K,H,T,H,K,H
375,"Gauri, Shree or Gauri, Ram",Poorvi,4 (3pm - 6pm),N - r - G - M - d - N - S',S' - Nr' - NdP - MGr - Pr - G - mG rGrS - 'N'd'N - S,P,S,Pr - G - r - S - 'N'd'N,Audav - Sampoorna,H,K,H,T,A,K,H,H,K,H,B,H,K,H,4,4,2,1,1.5,H,K,H,B,H,K,H
505,Purvaa / Poorbaa,Poorvi,4 (3pm - 6pm),S - m - G - P - MP Pd dn dP - M - d - N - S',r' - N - d - P - M - G - r - S,P,S,MP - Pd - dN - dP - MGrS - Sm GP,Vakra,H,A,H,B,H,K,B,H,K,H,T,H,K,H,3.8,4,2,1,1.5,H,K,H,B,H,K,B
215,Reva,Poorvi,5 (6pm - 9pm),"S - r - G, P - d - (M)P - S'",S' - (N)d - (M)P - G - r - S,S,P,"S - r - g, P - d - P - G, S - r - G, r - G",Audav - Audav,H,K,H,T,H,K,A,H,K,H,T,H,K,H,3.8462,5,1,2,1.5,H,K,H,T,H,K,H
383,Simhendra Madhyam,,4 (3pm - 6pm),S - R - g - M - P - d - N - S',S' - N - d - P - M - g - R - S,P,S,RgMPdP - NdPMg RgRS,Sampoorna - Sampoorna,H,H,K,T,H,K,H,H,H,K,T,H,K,H,4,4,2,1,1.5,H,H,K,T,H,K,H
386,"Barwa, Chaiti",Kafi,4 (3pm - 6pm),S - R - M - P - N - S',S' - n - D - P - D m g - R - gS Rn - S,m,S',D - P - D m g - R - gS Rn - S,Audav - Sampoorna,H,H,A,T,H,A,H,H,H,K,H,H,H,K,3.6667,4,2,1,1.5,H,H,K,B,H,H,B
382,Palasi,Kafi,4 (3pm - 6pm),S - g - m - P - n - S',S' - n - P - m - G - R - S,P,S',PnPmg - RS,Audav - Shadav,H,A,K,H,H,A,K,H,H,H,H,H,A,K,2.9091,4,2,1,1.5,H,H,B,H,H,A,K
38,Bhoop / Bhup / Bhupali,Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',S' - D - P - G - R - S,G,D,S RG R G - RG RPG - RG SR 'DS,Audav - Audav,H,H,H,A,H,H,A,H,H,H,A,H,H,A,3,5,3,4,3.5,H,H,H,A,H,H,A
95,"Kalyan, Shuddha",Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',"S - ND - P, P - MG - R - S",G,D,"S - ('N)'D - 'P, 'D - S, R - G - P - (M)G, P - (G)R - S",Audav - Sampoorna,H,H,H,A,H,H,A,H,H,H,T,H,H,H,3.5833,5,3,4,3.5,H,H,H,T,H,H,H
370,"Kalyan, Kesari",Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',S' - D - M - P - M - G - R - S,G,D,,Audav - Shadav,H,H,H,A,H,H,A,H,H,H,T,H,H,A,3.3636,5,3,4,3.5,H,H,H,T,H,H,A
362,Kala Bharan,Khamaaj,5 (6pm - 9pm),S - R - G - m - P - D - n - S',S' - D - P - G - R - S,G,D,,Sampoorna - Audav,H,H,H,H,H,H,K,H,H,H,A,H,H,A,3.0833,5,3,4,3.5,H,H,H,H,H,H,K
241,Deepak,Poorvi,5 (6pm - 9pm),"S - G - M - P, M - d - N - S'","S'/P - d - P, G - P - G - r - S",S,P,S'/P - GPGrS - 'NSG MdP S'r'S'/P,Shadav - Sampoorna,H,A,H,T,H,K,H,H,K,H,A,H,K,A,3.3636,5,1,2,1.5,H,K,H,T,H,K,H
432,Nindiyaari,Kalyan,5 (6pm - 9pm),N - S - R - G - M - P - D - N - S',S' - N - D - P - m - G - R - S,R,D,"D - 'N - S - R, S - 'N - S",Sampoorna - Sampoorna,H,H,H,T,H,H,H,H,H,H,H,H,H,H,3.6429,5,5,4,4.5,H,H,H,B,H,H,H
515,"Todi, Abheri",Asavari,5 (6pm - 9pm),S - R - G - m - P - d - P - D - n - S',S' - n - d - P - m - g - r - S,d,g,"R - m - P - d - P - g - r - g - r - S, R - G - m - P - D - n - S' - R' - n - d - P - m - P - g - r - g - r - S",Vakra,H,H,H,H,H,B,K,H,K,K,H,H,K,K,3.2,5,3,4,3.5,H,B,B,H,H,B,K
562,"Deskar, Marwa Ang Ka",Bilawal,5 (6pm - 9pm),"S - R - G - P -, M - D - S'",S' - D - NDP - GPDP G - RS,D,G,S(R)GP - M(N)DS' - D NDPP G - SR 'DS,Audav - Sampoorna,H,H,H,T,H,H,A,H,H,H,A,H,H,H,3.5833,5,4,3,3.5,H,H,H,T,H,H,H
122,Lalitavari,Marwa,5 (6pm - 9pm),"N - r - G - m, M - m - G, M - D - N - S'","S' - N - R' - N - D, M - D - M - m - G, r - G - M - G - r - S",D,G,"m - M - m - G , M - m - m - r - G, N - D - M - m - g - r - G",Sampoorna - Sampoorna,H,K,H,B,A,H,H,H,B,H,B,A,H,H,4.2,5,4,3,3.5,H,B,H,B,A,H,H
262,Rajeshwari,,5 (6pm - 9pm),S - g - m - D - N - S',S' - N - D - m - g - S,S,m,,Audav - Audav,H,A,K,H,A,H,H,H,A,K,H,A,H,H,3.4,5,1,2,1.5,H,A,K,H,A,H,H
421,"Bihag, Mishra",Bilawal,5 (6pm - 9pm),N - S -  G - m - P - N - S',S' - N - DP - MP - GmG - RS,G,N,P - GmG - RGPmG - RS - PNS' - NDP - DnDP - GmPmG - RS,Mishra/Sankeerna,H,A,H,H,H,A,H,H,H,H,B,H,H,H,3.3846,5,3,6,4.5,H,H,H,B,H,H,H
97,"Kalyan, Yaman",Kalyan,5 (6pm - 9pm),N - R - G - M - D - N - S',S' - N - D - P - M - G - m - G - R - S,G,N,N - R - G - M - P - R - GmG - R - G - R - 'N - R - S,Shadav - Sampoorna,H,H,H,T,A,H,H,H,H,H,B,H,H,H,4,5,3,6,4.5,H,H,H,B,H,H,H
184,Yaman,Kalyan,5 (6pm - 9pm),N - R - G - M - D - N - S',S' - N - D - P - M - G - R - S,G,N,NRG - RG - P (G)R - GR - 'NRS,Shadav - Sampoorna,H,H,H,T,A,H,H,H,H,H,T,H,H,H,4.1538,5,3,6,4.5,H,H,H,T,H,H,H
269,Chandrakant,Kalyan,5 (6pm - 9pm),S - R - G - P - D - N - S',"S' - N - D - P, M - G - R - S",G,N,,Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,T,H,H,H,3.7692,5,3,6,4.5,H,H,H,T,H,H,H
462,"Kalyan, Jaimini",Kalyan,5 (6pm - 9pm),N - R - G - M - D - N - S',S' - N - D - P - M - G - m - G - R - S,G,N,"N - 'D - 'N - R - G, G - m - G - R, 'N - G - R - S",Shadav - Sampoorna,H,H,H,T,A,H,H,H,H,H,B,H,H,H,4,5,3,6,4.5,H,H,H,B,H,H,H
116,Khamaj,Khamaaj,5 (6pm - 9pm),S - G - m - P - D - N - S',S' - n - D - P - m - G - R - S,G,N,G - m - n - D - P - D - m - G - P,Shadav - Sampoorna,H,A,H,H,H,H,H,H,H,H,H,H,H,K,3.0769,5,3,6,4.5,H,H,H,H,H,H,B
174,Tilang,Khamaaj,5 (6pm - 9pm),S - G - m - P - N - S',"S' - n - P, mP Gm(D)P - m G - (R)S",G,N,mP NS' nP Gm G S,Audav - Audav,H,A,H,H,H,A,H,H,H,H,H,H,H,K,3,5,3,6,4.5,H,H,H,H,H,H,B
281,Malavi,Poorvi,5 (6pm - 9pm),"S - (M)G - P, M - d - S'","S' - N - P - M, G - r - S",S,P,GP - Md - S' - NP - G MGrS,Shadav - Sampoorna,H,A,H,T,H,K,A,H,K,H,T,H,A,H,3.7273,5,1,2,1.5,H,K,H,T,H,K,H
244,Malin,Marwa,5 (6pm - 9pm),N - S - G - P - N - D - S',S' - N - D - P - G - P - G - r - S,G,N,,Audav - Shadav,H,A,H,A,H,H,H,H,K,H,A,H,H,H,3.4545,5,3,6,4.5,H,K,H,A,H,H,H
217,Sazgiri,Poorvi,5 (6pm - 9pm),"N - r - G, M - G, M - P - d - P, m - N - D - S'","S' - N - r' - N - d - P, P - D - G, M - D - G, M - G - r - S",G,N,"m - N - D - S', N - r' - N - d - P, P - D - G, M - G - r - S",Sampoorna - Sampoorna,H,K,H,B,H,B,H,H,K,H,T,H,B,H,3.8824,5,3,6,4.5,H,K,H,B,H,B,H
96,"Kalyan, Shyam",Kalyan,5 (6pm - 9pm),S - R - M - P - N - S',S' - N - D - P - M - P - G - m - R - S,R,P,"R - P, G - m - R, 'N - S",Audav - Sampoorna,H,H,A,T,H,A,H,H,H,H,B,H,H,H,3.9231,5,5,2,3.5,H,H,H,B,H,H,H
293,"Kalyan, Lakshmi",Kalyan,5 (6pm - 9pm),"S, R - G - m - R, M - P, D, N - S'","S' - N - D - P, M, m, G - m - R - S",R,P,,Sampoorna - Sampoorna,H,H,H,B,H,H,H,H,H,H,B,H,H,H,3.75,5,5,2,3.5,H,H,H,B,H,H,H
78,Jaijaiwanti (Des Ang),Khamaaj,5 (6pm - 9pm),N - S - R - G - m - P - N - S',S' - n - D - P - m - G - R - (g)R - S,R,P,NS 'D'n(G)R - 'n'D 'm'P'NS,Shadav - Sampoorna,H,H,H,H,H,A,H,H,H,B,H,H,H,K,3.2143,5,5,2,3.5,H,H,B,H,H,H,B
273,Tanki,Poorvi,5 (6pm - 9pm),"S - r - G - P, d - P - N - S'","S' - N - d - P, M - G, P - G - r - S",P,R,,Shadav - Sampoorna,H,K,H,A,H,K,H,H,K,H,T,H,K,H,3.7692,5,2,5,3.5,H,K,H,T,H,K,H
510,"Gauri, Bhatiyari",Bhairav,5 (6pm - 9pm),No specific aaroha set,No specific avroha set,S,P,"S - r - G - r - S, r - 'N - S - 'N - 'd - 'N, S - r - G, G - m - P, P - D - N - P, D - m, P - G - m - G - r - G, r - S - r - 'N - 'd - 'N - S",Sampoorna - Sampoorna,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,5,1,2,1.5,A,A,A,A,A,A,A
91,"Kalyan, Hem",Bilawal,5 (6pm - 9pm),P - 'D - 'P - S - R - S - G - m - P - D -  P - S',S - D - P - G - m - P - G - m - R - S,S,P,P - D - P - S - R - S,Shaadav - Shaadav,H,H,H,H,H,H,A,H,H,H,H,H,H,A,2.8333,5,1,2,1.5,H,H,H,H,H,H,A
148,Pahadi,Bilawal,5 (6pm - 9pm),P - 'D - S - R - G - P - D - S',S' - N - D - (M)P - m - G - R - S - ('n)'D - 'P - 'D - S,S,P,S - 'D - 'P - 'D - 'm - 'G - 'P - 'D - S,Audav - Sampoorna,H,H,H,A,H,H,A,H,H,H,B,H,H,B,3.5714,5,1,2,1.5,H,H,H,B,H,H,B
212,Dhanashree,Bilawal,5 (6pm - 9pm),N - S - G - m - P - N - S',"S' - N - D - P, P - Dm, P - G, G - m - G - R - S",S,P,"N - (D)P, D - (P)m, P - (m)G, m - R - S",Audav - Sampoorna,H,A,H,H,H,A,H,H,H,H,H,H,H,H,3.0833,5,1,2,1.5,H,H,H,H,H,H,H
223,"Kanada, Gara",Kafi,5 (6pm - 9pm),S - R - g - m - P - n - P - S' / g - m - D - n - S',S' - n - D - P - m - P - g - m - R - S - 'NS - 'n'D - 'NS / S' - n - P - g - m - R - S - 'N - S - 'D - 'n - S,S,P,"m - P - n - P - S' - D - n - P - (m)g - m - R - S, S - r - 'N - S - 'n - 'D",Sampoorna - Sampoorna,H,H,K,H,H,H,K,H,H,K,H,H,H,B,3.4667,5,1,2,1.5,H,H,K,H,H,H,B
89,"Kalyan, Durga",Kalyan,5 (6pm - 9pm),S - R - G - M - P - D - N - S',"S' - N - D - P - M - G - R, m - (m)R - (R)'D - S",S,P,"D - P - M - G - R, m - (m)R - (R)'D - S",Sampoorna - Sampoorna,H,H,H,T,H,H,H,H,H,H,B,H,H,H,3.8667,5,1,2,1.5,H,H,H,B,H,H,H
115,"Kedar, Nat",Kalyan,5 (6pm - 9pm),"S - R - S - m, m - G - P, P - D - P - S'","S' - N - D - P, M - P - D - P - m, d - G - m - R - S",S,P,"S - m, G - P, D - P - m, G - m - R - S",Audav - Sampoorna,H,H,H,H,H,H,A,H,H,H,B,H,B,H,3.3333,5,1,2,1.5,H,H,H,B,H,B,H
454,Manjiri Malav / Maalaw Manjari,Kalyan,5 (6pm - 9pm),S - G - P - D - P - N - D - S',S' - N - D - P - G - S,S,P,"GP DP G - S 'DS, PG P - GP - NDP - GPNDS' - NDP - DP G - S",Audav - Audav,H,A,H,A,H,H,H,H,A,H,A,H,H,H,3.2,5,1,2,1.5,H,A,H,A,H,H,H
455,Kumudvati,Kalyan,5 (6pm - 9pm),S - R - M - P - D - S',"S' - D - P - M - P, m - R - S",S,P,"S - 'D - S, R - M - P, m - R - S, R - M - P - D - m - R - S",Audav - Audav,H,H,A,T,H,H,A,H,H,A,B,H,H,A,3.6364,5,1,2,1.5,H,H,A,B,H,H,A
80,Janasammohini,Khamaaj,5 (6pm - 9pm),S - G - P - D - n - S',S' - n - D - P - G - P - G - R - 'n - 'D - S,S,P,"P - D - n - D - P - G - R, 'n - 'D - S",Audav - Shadav,H,A,H,A,H,H,K,H,H,H,A,H,H,K,3.1818,5,1,2,1.5,H,H,H,A,H,H,K
173,Tilak Kamod,Khamaaj,5 (6pm - 9pm),S R m P N S',S' - P - nD PD mG - SRG RS,S,P,P'NSRG SRPm G RS | PDmP S' - P,Shadav - Sampoorna,H,H,A,H,H,A,H,H,H,H,H,H,H,K,3.1667,5,1,2,1.5,H,H,H,H,H,H,B
296,"Kalyan, Shree",Marwa,5 (6pm - 9pm),"N - r - G - M - P, M - G - M - d - N - S'",S' - N - D - P - M - G - r - S,P,S,"G - M - D - N - D - P, Pr - r - G - r - S",Mishra/Sankeerna,H,K,H,T,H,K,H,H,K,H,T,H,H,H,4.0714,5,2,1,1.5,H,K,H,T,H,B,H
330,"Sarang, Poorvi",Poorvi,5 (6pm - 9pm),"S - r, G - M - P - d - N - S'",S' - N - d - P - M - P - M - G - r - G - S,P,S,,Sampoorna - Sampoorna,H,K,H,T,H,K,H,H,K,H,T,H,K,H,4,5,2,1,1.5,H,K,H,T,H,K,H
414,Dhanabasanti,Poorvi,5 (6pm - 9pm),S - G - M - d - N - Sxe2x80x99,"Sxe2x80x99 - N - d - P - M - G - M - G - G - M - r - G, M - G - r - S",P,S,"M - d - Sxe2x80x99 - N - d - P - M - G - M - G, G - M - r - G - M - G - r - S, S - m - G - M - d - N - Sxe2x80x99",Audav - Sampoorna,H,A,H,T,A,K,H,H,K,H,T,H,K,H,4,5,2,1,1.5,H,K,H,T,H,K,H
239,Koumari,Poorvi,5 (6pm - 9pm),S - r - G - M - P - N - S',S' - N - P - M - G - r - S,,,,Shadav - Shadav,H,K,H,T,H,A,H,H,K,H,T,H,A,H,4.1667,5,0,0,0,H,K,H,T,H,A,H
498,"Kalyan, Priya",Kalyan,6 (9pm - 12am),S - r - G - M - P - D - n - S',S' - n - D - P - M - G - r - S,-,-,"r - G - M - P - M - r - G, n - D - P - M - r - G",Sampoorna - Sampoorna,H,K,H,T,H,H,K,H,K,H,T,H,H,K,4,6,0,0,0,H,K,H,T,H,H,K
18,"Bahar, Sindhu",,5 (6pm - 9pm),"S - m, m - P - (m)g - m, m - P - D - S'","R' - N - S' - n - D, P, m - P - n - P - (m)g - m, R - S - R - S",S',P,"m - P - D - S, n - D - P, n - n - P - m - P - (m)g",Shadav - Sampoorna,H,A,K,H,H,H,A,H,H,K,H,H,H,B,3.2308,5,1,2,1.5,H,H,K,H,H,H,B
86,Kafi,Kafi,5 (6pm - 9pm),S - R - g - m - P - D - n - S',S' - n - D - P - m - g - R - S,P,R,SR Rg - mPm P - mP gR,Sampoorna - Sampoorna,H,H,K,H,H,H,K,H,H,K,H,H,H,K,3.2857,5,2,5,3.5,H,H,K,H,H,H,K
73,Haunsdhwani / Hansadhvani / Hamsadhvani,Kalyan,5 (6pm - 9pm),S - R - G - P - N - S',S' - N - P - G - R - S,P,R,GPNS' G'R' NP GR GP R 'N'P S,Audav - Audav,H,H,H,A,H,A,H,H,H,H,A,H,A,H,3.4,5,2,5,3.5,H,H,H,A,H,A,H
98,Kamod,Kalyan,5 (6pm - 9pm),S - (m)R P - MPDP - (N)D PDPP - S',"S' - (N)D P - MPDP,  GmP GmR - S",P,R,S - (m)RP - GmP Gm RS,Shadav - Sampoorna,H,H,A,B,H,H,H,H,H,H,B,H,H,H,3.8,5,2,5,3.5,H,H,H,B,H,H,H
282,Malarani,Kalyan,5 (6pm - 9pm),"S, R - M - P, N - S'","N - S' - D - P, R - M - P, G - R - S",P,R,,Shadav - Shadav,H,H,A,T,H,A,H,H,H,H,T,H,H,H,4.0833,5,2,5,3.5,H,H,H,T,H,H,H
387,"Kalyan, Chhaya",Kalyan,5 (6pm - 9pm),N - R - G - m - G - P - D - N - S',S' - N - D - P - M - G - m - G - R - S,P,R,GmGR PMGmGR 'NRS,Shadav - Sampoorna,H,H,H,H,H,H,H,H,H,H,B,H,H,H,3.5333,5,2,5,3.5,H,H,H,B,H,H,H
439,"Kalyan, Bhup / Audav Shudhha Kalyan",Kalyan,5 (6pm - 9pm),S - R - G - P - D - S',S' - D - P - G - R - S,P,R,"G - P - R - S, 'D - 'P - G - RS - 'DR - S",Audav - Audav,H,H,H,A,H,H,A,H,H,H,A,H,H,A,3,5,2,5,3.5,H,H,H,A,H,H,A
318,"Ranjani, Gou",Asavari,6 (9pm - 12am),N - S - G - M - P - N - S',S' - N - d - P - M - G - r - S,P,S,,Audav - Sampoorna,H,A,H,T,H,A,H,H,K,H,T,H,K,H,3.9167,6,2,1,1.5,H,K,H,T,H,K,H
167,Saraswati,,5 (6pm - 9pm),S - R - M - P - D - P - S',"S' - n - D - P, M - P -(P)R - S",P,R,"M - P - D - P - S', S' - n - D - P, M - M - P - R, S",Audav - Shadav,H,H,A,T,H,H,A,H,H,A,T,H,H,K,3.9091,5,2,5,3.5,H,H,A,T,H,H,K
